REPRISE_P-ETP_MIN;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_JOURS_PLUIE;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_HAUTEURS_PLUIE_MAX;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_HUMIDITE_SOL_MAX;[%];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_EFFET_RUs;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_TEMPERATURE_MIN;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_JOURS_TEMP_MIN;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_TEMPERATURE_MAX;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_JOURS_TEMP_MAX;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_TEMPERATURE_MAX_INF;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_JOURS_TEMP_MAX_INF;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_TEMPERATURE_MIN;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_JOURS_TEMP_MIN;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_TEMPERATURE_MAX;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_JOURS_TEMP_MAX;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_TEMPERATURE_MAX_INF;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_JOURS_TEMP_MAX_INF;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IS_SEMIS;[NA];O;O;O;O;O;O;O;O;O;O;O;O;O;O
SEMIS_PASSAGES;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SEMIS_OUTIL;[nom];Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique
SEMIS_AGRIW;[bool];oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui
SEMIS_TEMPS;[Ha/h];1000;1.4;1.4;1.4;1.4;1.4;1.4;1000;1.4;1.4;1.4;1.4;1.4;1.4
SEMIS_NB_SOUS_PERIODES;[NA];1;1;1;1;1;1;1;1;1;1;1;1;1;1
SEMIS_DEBUT;[jour];10;152;152;152;152;152;152;10;152;152;152;152;152;152
SEMIS_FIN;[jour];20;181;181;181;181;181;181;20;181;181;181;181;181;181
SEMIS_JOURS_PLUIE;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SEMIS_HAUTEURS_PLUIE_MAX;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SEMIS_HUMIDITE_SOL_MAX;[%];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SEMIS_EFFET_RUs;[?];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SEMIS_OPERATEUR;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
